catalog_id,image,shop_types,alt
dcut-single-color,12x16.jpg,,
dcut-single-color,1-1.jpg,,
dcut-single-color,img-1886.jpg,,
dcut-single-color,img-1891.jpg,,
dcut-double-color,2-1.jpg,,
dcut-double-color,3-1.jpg,,
dcut-double-color,img-1905.jpg,,
dcut-double-color,untitled-1.1-copy-594x594.jpg,,
dcut-bopp-single-color,untitled-1.1-copy-594x594.jpg,,
handle-single-color,untitled-4.1-copy-594x594.jpg,,
handle-double-color,untitled-4.1-copy-594x594.jpg,,
stitching-single-color,untitled-6.1-copy-712x712.jpg,,
stitching-double-color,untitled-6.1-copy-712x712.jpg,,
stitching-double-color,digital-3.jpeg,,
digital-multi-color,img-1383.jpg,,
digital-multi-color,img-1387.jpeg,,
digital-multi-color,img-1386.jpeg,,
digital-model,img-1381.jpg,,
digital-handle,img-1385.jpg,,
digital-handle,img-1381.jpg,,
digital-handle,10-1-566x755.jpg,,
digital-bopp,digital-3.jpeg,,
digital-bopp,untitled-5.1-copy-594x594.jpg,,
digital-bopp-handle,digital-1.jpg,,
digital-bopp-handle,6.jpg,,
digital-bopp-handle,untitled-5.1-copy-594x594.jpg,,
ucut,untitled-2.1-copy-594x594.jpg,,
misprint-nw,img-1891.jpg,,
dcut-plain,untitled-3-copy-712x712.jpg,,
ucut-plain,untitled-2.1-copy-594x594.jpg,,
