id,material,name,images,bag_type,print,sizes,gsms,colours,shop_types,badges,rate_per_kg,min_order_kg,pcs_per_kg,note
dcut-single-color,Non Woven Bag,D-Cut Single Color Bags,12x16.jpg|1-1.jpg|img-1886.jpg|img-1891.jpg,D-Cut,Printed,9x11|10x14|12x18|14x18|16x18 ,80,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Function|Mobile Shop|Ladies Corner|Tailors|Medical Shops,Bestseller|Budget Friendly,,,,"One colour screen print on 80 GSM non woven fabric, with the handle punched into the body. The most economical printed bag we make, and where most shops start."
dcut-double-color,Non Woven Bag,D-Cut Double Color Bags,2-1.jpg|3-1.jpg|img-1905.jpg|untitled-1.1-copy-594x594.jpg,D-Cut,Printed,9x11|10x14|12x18|14x18|16x18 ,80,White|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Function|Mobile Shop|Ladies Corner|Tailors|Medical Shops,,,,,Two colour screen print — usually the shop name in one colour and the address strip in another. Same 80 GSM D-cut body as the single colour bag.
dcut-bopp-single-color,Non Woven Bag,D-Cut BOPP Single Color Bags,untitled-1.1-copy-594x594.jpg,D-Cut,Printed,12x18|14x18|16x18 ,80,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Function|Mobile Shop|Ladies Corner|Tailors|Medical Shops,New|Premium|Bestseller,,,,"BOPP laminated D-cut with a single colour print. The lamination gives a glossy, wipe-clean surface and keeps the print sharp in the rain."
handle-single-color,Non Woven Bag,Handle Single Color Bags,untitled-4.1-copy-594x594.jpg,Handle,Printed,12x16|12x18|14x18|16x18 ,80,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Jewellery|Mobile Shop|Ladies Corner|Tailors,,,,,"Sewn loop handle stitched to the body, single colour print. The handle takes more weight than a punched D-cut, so this is the pick for heavier garments."
handle-double-color,Non Woven Bag,Handle Double Color Bags,untitled-4.1-copy-594x594.jpg,Handle,Printed,12x16|12x18|14x18|16x18 ,80,White|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Footwear|Jewellery|Mobile Shop|Ladies Corner|Tailors,,,,,"Loop handle bag with a two colour print, shop name and contact strip in separate colours. Handle colour can be matched to your brand."
stitching-single-color,Non Woven Bag,Stitching Single Color Bags,untitled-6.1-copy-712x712.jpg,Stitching,Printed,12x16|14x16|14x18|16x18|16x19 (Stick Bag),110,White|Red|Reliance Green|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Kirana Store,,,,,"Stitched body with a side patty for depth, single colour print. Folded sarees and dress materials sit flat inside instead of creasing."
stitching-double-color,Non Woven Bag,Stitching Double Color Bags,untitled-6.1-copy-712x712.jpg|digital-3.jpeg,Stitching,Printed,12x16|14x16|14x18|16x18|16x19 (Stick Bag),110,White|Ivory,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Kirana Store,,,,,Stitched side-patty bag with a two colour print. The patty is normally run in a contrast colour to frame the front panel.
digital-multi-color,Non Woven Bag,Digital Multi Color Bags,img-1383.jpg|img-1387.jpeg|img-1386.jpeg,Digital,Printed,12x16|14x16|14x18|16x18|16x19 (Stick Bag),110,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Jewellery|Mobile Shop|Ladies Corner|Fertilizers|Tailors|Wine Shop,Bestseller,,,,"Full colour digital print, so photographs, gradients and fine Telugu type all reproduce cleanly. Send artwork in any format and we proof it with you before printing."
digital-model,Non Woven Bag,Digital Model Bags,img-1381.jpg,Digital,Printed,12x16|16x18|16x19 (Stick Bag),110,White,Womens wear|Mens Wear|Family wear|Kids Wear|Jewellery,Budget Friendly,,,,"Digital printed bag in our standard model shapes, full colour on both panels. A quicker route than custom artwork when you want a ready design."
digital-handle,Non Woven Bag,Digital Handle Bag,img-1385.jpg|img-1381.jpg|10-1-566x755.jpg,Digital,Printed,15x17,110,White,Womens wear|Mens Wear|Family wear|Kids Wear|Textiles|Jewellery|Mobile Shop|Ladies Corner|Fertilizers|Tailors|Wine Shop,Budget Friendly,,,,Full colour digital print with a sewn loop handle. Dark full-surface designs hold flat on this fabric with no show-through.
